Air Pollutant,Air Quality Station Name,Air Quality Station Type,Air Quality Network Name,Longitude,Latitude,HubName,HubDist,Pollutant_Group,In_Particulates
Benzo(e)pyrene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
C7H16,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
C6H14,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
(CH3)3-C-CH2-CH-(CH3)2,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
H3C-CH2-CH(CH3)2,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
"1,2-dichloroethane (air)",51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
"m,p-C6H4(CH3)2",51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
C8H18,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
o-C6H4-(CH3)2,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
Benzo(a)anthracene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Benzo(b)fluoranthene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Benzo(k)fluoranthene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Fluoranthene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Pyrene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
BaP,61R012 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Others,FALSE
Benzo(e)pyrene,61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Benzo(a)anthracene,61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Fluoranthene,61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Pyrene,61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Volatile organic compounds,FALSE
BaP,61R112 - UCCLE,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Others,FALSE
Benzo(e)pyrene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Benzo(a)anthracene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Benzo(b)fluoranthene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Benzo(k)fluoranthene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Fluoranthene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Pyrene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
BaP,61WOL1 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Others,FALSE
Benzo(e)pyrene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Benzo(a)anthracene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Benzo(b)fluoranthene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
H3C-(CH2)3-CH3,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
"1,2,4-C6H3(CH3)3",51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
"1,2,3-C6H3(CH3)3",51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
"1,3,5-C6H3(CH3)3",51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
C6H6,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
C6H5-CH3,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
C6H5-C2H5,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
C7H16,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Benzo(k)fluoranthene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Fluoranthene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Pyrene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Volatile organic compounds,FALSE
BaP,61WOL2 - WOL.ST.L.,background,Brussels,4.4257,50.85658,w460179336,3140.738663,Others,FALSE
C6H14,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
(CH3)3-C-CH2-CH-(CH3)2,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
H3C-CH2-CH(CH3)2,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
"1,2-dichloroethane (air)",51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
"m,p-C6H4(CH3)2",51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
C8H18,51B003 - BRUXELLES,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
